ra,dec,apogee_ID,gaia_ID,parallax,pmra,pmra_err,pmdec,pmdec_err,RV,RV_err,dist,dist_err,jr,jr_err,jphi,jphi_err,jz,jz_err,TEFF,TEFF_err,LOGG,LOGG_err,SNR,FEH,FEH_err,CFE,CFE_err,CIFE,CIFE_err,NFE,NFE_err,OFE,OFE_err,MGFE,MGFE_err,ALFE,ALFE_err,SIFE,SIFE_err,PFE,PFE_err,SFE,SFE_err,KFE,KFE_err,CAFE,CAFE_err,TIFE,TIFE_err,TIIIFE,TIIIFE_err,VFE,VFE_err,CRFE,CRFE_err,MNFE,MNFE_err,COFE,COFE_err,NIFE,NIFE_err
200.581774,28.888985,2M13221962+2853203,1461674063428369920,4.9540796,-233.61469,0.0168858,-286.56995,0.0110813,-55.512756,0.10577408,418.4508972167970,115.46555448098400,238.7530014403720,3.4200289349955400,-891.6610245857050,7.939832499078380,3.1621245603388200,0.03028468719215860,5212.3726,323.68973,3.3542309,0.7116893,117.43155,-1.3590196,0.34080094,-0.21779907,0.43041265,-0.15730476,0.46930966,0.15658319,0.5183624,0.21449208,0.41974127,0.17761946,0.40178207,-0.14748538,0.47180995,0.15515757,0.40836045,-0.223544,10.637143,0.029596329,0.4101063,0.09472072,0.48616952,0.124801755,0.40971655,-0.15135312,0.5063863,0.0044201612,0.48427528,-0.024875998,0.4609216,-0.075130105,0.54188126,-0.26202226,0.4528435,-0.4259627,1.0692232,-0.010969639,0.4261661
200.586282,32.545231,2M13222070+3232428,1469597178578665856,5.487859,-81.39488,0.0132843,58.94651,0.0135807,-22.390219,0.022829609,154.12457275390600,21.076510145211400,112.39360055234600,0.7063764768035690,1957.7804625514500,0.11020730476952700,2.5081620253587100,0.008867426187141260,5809.084,127.1616,4.0368814,0.15630855,542.66644,-0.12926689,0.05352367,-0.033614635,0.058609877,-0.0009189248,0.07498775,0.08739724,0.12533326,0.06877127,0.07253562,0.0096282065,0.06775692,0.13926014,0.093208306,0.037103184,0.06980878,0.091757685,1.6657754,-0.01577966,0.07170123,0.014187619,0.1156849,0.019549318,0.08178976,-0.2064648,0.18417631,-0.06515367,0.1227886,0.0032839328,0.1112306,-0.064253494,0.15309893,-0.0006518662,0.09795421,-0.17030597,0.27774417,0.020128384,0.07835699
200.586282,32.545231,2M13222070+3232428,1469597178578665856,5.487859,-81.39488,0.0132843,58.94651,0.0135807,-22.259367,0.025000246,148.47569274902300,20.133195229141500,112.41542912674600,0.7079437465302410,1957.929287035010,0.10726445761856000,2.48462064072146,0.009107181495412880,5760.9834,116.69206,4.0357075,0.15310693,361.6758,-0.14041695,0.051328927,-0.00851661,0.05639188,0.012481406,0.07159746,0.029653221,0.119519845,0.071769856,0.070897005,-0.0065793097,0.06493965,0.112271,0.09037089,0.032122232,0.066726595,0.06651464,1.3517623,-0.03416474,0.05813482,0.044936046,0.08742598,0.013212323,0.08034365,-0.23530322,0.18902043,-0.06558901,0.10235644,0.08311217,0.11335112,-0.04668784,0.11033673,-0.012224227,0.09310912,-0.3005628,0.43348584,0.041456185,0.07681966
200.586282,32.545231,2M13222070+3232428,1469597178578665856,5.487859,-81.39488,0.0132843,58.94651,0.0135807,-22.326908,0.02587804,150.90138244628900,20.999783828336900,112.38902533868200,0.726090548716476,1957.847980105480,0.10782131485280500,2.4967523223181000,0.009113669739512180,5730.7114,124.754196,3.9852178,0.15711524,369.30197,-0.18304569,0.059032086,-0.03446281,0.06539141,-0.012623519,0.07773271,0.1217069,0.13080612,0.124884404,0.082757086,0.0071775615,0.073696285,0.112911195,0.09762256,0.06838458,0.0816592,0.07415497,1.6908542,0.012362763,0.073328555,0.036626652,0.101964824,0.019441202,0.08913969,-0.25629348,0.19337647,-0.06541161,0.11331989,-0.067810476,0.15034358,-0.11974701,0.16761008,-0.0061273575,0.11056897,-0.2855571,0.419287,0.020389915,0.087242484
200.587469,24.30085,2M13222099+2418030,1446512382197065984,7.0869064,8.315549,0.0195345,-21.576004,0.0121611,-8.328367,0.03135509,157.64682006835900,18.83096273974730,17.83957563507040,0.018222999954993800,1922.4760506877900,0.19041753988076000,0.9515963379945020,0.003950105563399140,5823.3857,120.017426,4.0513573,0.14411536,429.63504,-0.027672088,0.052821226,-0.03809095,0.058173455,-0.0042187963,0.07266398,0.12597449,0.13637112,0.10280868,0.071498804,0.012839839,0.06436526,0.15084825,0.0879124,0.07875228,0.07254908,0.04839906,1.0610943,-0.03857111,0.06288467,0.028195264,0.093704596,0.004519323,0.07673209,-0.1694905,0.17063516,-0.059256926,0.09196759,-0.020927878,0.1139318,-0.051617436,0.10083023,0.0044121873,0.09217401,-0.1669564,0.26281375,0.03816603,0.07483772
200.595981,25.943821,2M13222303+2556377,1447541456360328960,4.0532928,-20.519325,0.0175701,-16.249893,0.0115843,19.404625,0.03000535,232.86256408691400,26.854139993615100,0.280924771629307,0.0019340690484176400,1760.6140574604400,0.9548366637031160,9.369808553226830,0.030118196684770500,5839.8726,112.68632,4.0916586,0.13674057,292.37433,0.021586174,0.050096177,-0.025543774,0.05584137,0.007079577,0.0726767,0.06426759,0.12255667,0.0777182,0.072242066,0.008674726,0.06283582,0.12689282,0.08036615,0.048184827,0.0660375,0.058898933,0.9182366,-0.076303855,0.059375916,0.015484596,0.090737045,0.008819677,0.07203524,-0.21528721,0.17950483,0.0066311266,0.07704743,0.023171874,0.101018995,-0.1158274,0.12105014,0.011108195,0.08939655,-0.37020922,0.47574747,0.025712946,0.07352633
200.596153,32.104553,2M13222307+3206163,1469391123228327808,3.6351397,51.818913,0.0173165,-3.1960943,0.0183906,-6.082534,0.06530747,396.9583435058590,71.48611897995830,249.80709307506200,2.2800491947686700,2283.0144474696300,1.651733938802330,3.095394713493640,0.030923104543497000,4944.6357,88.94379,4.2641478,0.26134485,29.693487,-0.38750368,0.0663299,0.12429938,0.08893581,0.17272502,0.09591776,-0.03707704,0.10183397,0.28992596,0.09890314,0.30941784,0.08505618,0.23136243,0.10167416,0.17068513,0.08933222,0.48441106,1.1232412,-0.014480948,0.13036771,0.21585491,0.17311418,0.20988767,0.08351664,0.2113049,0.090945356,0.3243619,0.12198264,0.07390505,0.121184,0.12588736,0.11742873,-0.1155473,0.118347555,-0.100018024,0.30047625,0.10982299,0.09784696
200.596153,32.104553,2M13222307+3206163,1469391123228327808,3.6351397,51.818913,0.0173165,-3.1960943,0.0183906,-13.765056,0.063996345,470.75323486328100,89.746674896663,243.931291474357,2.1766073580507800,2274.495049994560,1.6017342996476100,4.076530511572550,0.03581820015447630,4949.905,82.212585,4.311158,0.2802114,122.21233,-0.36743808,0.057772655,0.09248462,0.08318949,0.0753918,0.10080467,-0.031144917,0.098541975,0.2623926,0.08868464,0.29404962,0.07882438,0.19552056,0.096494265,0.1894021,0.09367058,0.48204476,1.0677241,0.16970904,0.09973464,0.24567252,0.09262295,0.20791726,0.07069941,0.19571751,0.08365953,0.2114483,0.16580577,0.027292073,0.13383293,0.083024055,0.10996864,-0.070914835,0.11048517,-0.09162855,0.28095677,0.12633991,0.08152709
200.596153,32.104553,2M13222307+3206163,1469391123228327808,3.6351397,51.818913,0.0173165,-3.1960943,0.0183906,-2.6914666,0.07523956,435.66326904296900,77.47132921024050,252.96346405569200,2.259258533521740,2286.8754110310800,1.628075173113210,2.9431619013787200,0.02876851431887000,4887.974,84.20863,4.3079796,0.30926868,57.593792,-0.35481605,0.05717134,0.076058805,0.0841734,0.020805866,0.113122515,-0.11253753,0.09944047,0.22570278,0.08294965,0.29946506,0.078119084,0.18640228,0.09258439,0.15302266,0.081508204,0.5112318,1.7396377,0.15810174,0.10448008,0.24100178,0.104232654,0.20726144,0.072843865,0.17247576,0.07989334,0.2283062,0.13861679,0.22045004,0.118211284,0.045516938,0.16627608,-0.089761525,0.10297875,0.030413926,0.14281853,0.1243816,0.08231542
200.596153,32.104553,2M13222307+3206163,1469391123228327808,3.6351397,51.818913,0.0173165,-3.1960943,0.0183906,-3.2114198,0.06788539,408.19403076171900,69.87977669918040,252.37660356889100,2.253507972858290,2286.2250422174200,1.6289373937293800,2.954508802253750,0.02889452553450940,5038.3223,95.54484,4.3433833,0.27302223,75.3297,-0.36650336,0.0642304,0.1161122,0.08404868,0.14183344,0.11199223,-0.015638709,0.10796727,0.257326,0.09204389,0.306785,0.08448487,0.2256201,0.100888625,0.14424457,0.084985316,0.46072328,1.8607085,0.055847406,0.11364932,0.28133518,0.104531534,0.1938374,0.08045722,0.17684674,0.087239794,0.2140673,0.14721264,0.23805432,0.13249303,0.10737407,0.108066134,-0.062133998,0.12383737,-0.10766345,0.29567185,0.09178966,0.09219245
