Cluster,RA,DEC,Mass, rhm   ,rt,rho_c,sig0,vesc,c, d_Sun  
ESO_280-SC06,272.27500,-46.42333,7.8E+03,9.65,44.09,1.01,0.8,3.2,0.90,20.95
NGC_6553,272.31532,-25.90775,2.85E+05,4.56,48.25,3.83,7.5,28.7,1.16,5.33
2MASS-GC02,272.40210,-20.77889,1.58E+04,2.85,15.28,3.04,2.2,8.5,0.95,5.50
NGC_6558,272.57397,-31.76451,2.65E+04,1.70,9.51,4.80,4.1,16.5,2.50,7.47
IC_1276,272.68444,-7.20760,7.39E+04,5.21,37.32,2.90,3.6,13.6,1.33,4.55
Ter_12,273.06583,-22.74194,8.72E+04,3.28,32.11,3.32,4.3,17.6,0.57,5.17
NGC_6569,273.41167,-31.82689,2.36E+05,3.85,41.61,3.58,7.3,27.3,1.31,10.53
BH_261,273.52750,-28.63500,2.2E+04,4.66,16.48,3.54,2.1,8.6,1.00,6.12
NGC_6584,274.65665,-52.21578,1.02E+05,5.37,55.84,2.78,4.0,15.1,1.47,13.61
NGC_6624,275.91879,-30.36103,1.56E+05,3.69,19.45,5.05,7.0,29.1,2.50,8.02
NGC_6626,276.13704,-24.86985,2.99E+05,2.26,47.61,5.11,11.3,45.2,1.67,5.37
NGC_6637,277.84625,-32.34808,1.55E+05,3.69,25.34,3.65,6.1,23.3,1.38,8.90
NGC_6638,277.73373,-25.49747,1.18E+05,2.20,29.94,4.31,6.9,26.8,1.33,9.78
NGC_6642,277.97596,-23.47560,3.44E+04,1.51,15.42,4.86,4.8,19.4,1.99,8.05
NGC_6652,278.94012,-32.99072,4.81E+04,1.96,18.84,4.57,4.9,19.6,1.80,9.46
NGC_6656,279.09976,-23.90475,4.76E+05,5.29,77.20,3.95,8.9,35.2,1.38,3.30
Pal_8,280.37729,-19.82886,6.74E+04,5.86,34.48,2.35,3.1,11.6,1.53,11.32
NGC_6681,280.80316,-32.29211,1.16E+05,2.89,27.72,6.33,7.1,29.4,2.50,9.36
RLGC_2,281.36737,-5.19258,2.43E+05,4.87,92.98,5.70,7.6,31.6,nan,15.85
NGC_6712,283.26802,-8.70596,9.63E+04,3.21,33.66,3.30,5.1,18.6,1.05,7.38
NGC_6715,283.76385,-30.47986,1.78E+06,5.20,283.30,5.18,19.2,76.8,2.04,26.28
NGC_6717,283.77518,-22.70147,3.58E+04,4.23,19.80,4.37,3.3,13.6,2.07,7.52
NGC_6723,284.88812,-36.63225,1.77E+05,5.06,37.16,2.96,5.5,20.0,1.11,8.27
NGC_6749,286.31406,1.89976,2.11E+05,7.09,63.40,3.04,5.1,19.9,0.79,7.59
NGC_6752,287.71710,-59.98455,2.76E+05,5.27,67.43,5.93,7.6,31.7,2.50,4.12
NGC_6760,287.80027,1.03047,2.69E+05,5.22,71.60,3.54,6.8,26.3,1.65,8.41
NGC_6779,289.14819,30.18347,1.86E+05,4.51,96.87,3.35,6.0,22.7,1.38,10.43
Ter_7,289.43298,-34.65772,2.4E+04,13.21,64.78,0.87,1.2,4.6,0.93,24.28
Pal_10,289.50693,18.57899,1.62E+05,6.33,67.29,2.63,4.6,17.3,0.58,8.94
Arp_2,292.18381,-30.35564,3.7E+04,18.45,85.77,0.40,1.3,4.6,0.88,28.73
